skin_id,name,champion,rarity_type,skin_lore,cost,has_chroma,release_date
266000,default,Aatrox,7,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find freedom once more, corrupting and transforming those foolish enough to try and wield the magical weapon that contained his essence. Now, with stolen flesh, he walks Runeterra in a brutal approximation of his previous form, seeking an apocalyptic and long overdue vengeance.",880 RP,False,2013-06-12
266001,Justicar Aatrox,Aatrox,7,"Chief among the Arclight stand the Justicars, sentinels who serve as living embodiments of justice and order. Aatrox embodies power, for it is his martial prowess that holds the chaos back.",975 RP,False,2013-06-12
266002,Mecha Aatrox,Aatrox,5,"Designated ATRX-1, the “Mecha Aatrox” unit was developed in response to 'gliding' kaiju with the capability of limited flight. In addition, ATRX-1 wields a thermal blade that can turn residual light particles into a heated cutting edge.",1350 RP,True,2014-07-23
266003,Sea Hunter Aatrox,Aatrox,7,"Bilgewater is home to many bounty hunters, but those looking to track a target through hundreds of miles of open ocean go to the hulking creature known as Aatrox. Cool, professional, and capable of rapidly regenerating from near-fatal wounds, with Aatrox you'll always know your bounty is in good hands.",750 RP,False,2015-07-22
266007,Blood Moon Aatrox,Aatrox,5,"Ancient manuscripts tracking the orbit of the Blood Moon describe it not as celestial phenomenon, but as a cosmic womb. As the seasons grow shorter and the cult's activity continues to increase, some worry it will give birth to a new kind of demon—a creature helping to bring about its own dark ascendance.",1350 RP,False,2019-01-10
266008,Prestige Blood Moon Aatrox,Aatrox,3,"Aatrox has been loosed upon the mortal plane. A creature born in the heart of the Blood Moon, he is the progenitor of all demons, and a malignant darkness that will consume the entire world.",,False,2019-01-10
266009,Victorious Aatrox,Aatrox,7,"Victorious Aatrox was awarded to players who reached Gold or higher in the 2019 season. With arm and sword sculpted from crystal quartz, he stands as a monument to all who wish to achieve greatness.",,True,2019-11-21
266011,Odyssey Aatrox,Aatrox,5,"Aatrox is a violent and notorious crime lord whose name is feared throughout the criminal underworld. He is also disfigured by Ora abuse. Seeking to purge the substance from his body, he abducts Templars to extract it—and kills them when they are unable to do so. He has seized a number of high ranking Templar priests in order to draw out Karma, who he believes will finally heal him.",1350 RP,True,2020-10-15
266020,Prestige Blood Moon Aatrox (2022),Aatrox,3,"Aatrox has been loosed upon the mortal plane. A creature born in the heart of the Blood Moon, he is the progenitor of all demons, and a malignant darkness that will consume the entire world.",,False,2022-04-01
266021,Lunar Eclipse Aatrox,Aatrox,5,"One of the few who took up the mantle of the Eclipse Knights in the days of old, Aatrox hopelessly pined for Kayle's affections… but she could only ever love the blazing sun. When she devoured it, the entity's lunar corona consumed him. He exists now as Kayle's monstrous, once-noble shadow, ever at her side.",1350 RP,True,2022-04-28
266030,DRX Aatrox,Aatrox,5,No lore,1350 RP,True,2023-06-01
266031,Prestige DRX Aatrox,Aatrox,3,"Aatrox is DRX's #1 fan, and he's got the goods to prove it, turning heads with his blue-and-white nod to the South Korean superstars. DRX and T1 supporters alike line up at Worlds to take photos, but he won't let his newfound fame distract him. He's just there to watch his favorite team take home the Summoner's Cup.",,False,2023-06-01
266033,Primordian Aatrox,Aatrox,4,"When the Primordians first attacked, humanity was unprepared—until Anima Squad formed to become its last defense. But they are safe no longer, for the Primordians evolved in turn. Their apex being is called Aatrox, whose understanding of humanity only furthers his hatred. His flesh has no limits, his sword no mercy. He is the harbinger of Anima's end.",1820 RP,True,2024-07-31
103000,default,Ahri,7,"Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature, Ahri retains a sense of empathy as she receives flashes of memory from each soul she consumes.",880 RP,False,2011-12-14
103001,Dynasty Ahri,Ahri,7,"Though Ahri's royal blood is obvious in her fashion and poise, she much prefers running across rooftops and causing general mischief to being locked up in a castle. Life's more fun with laughter, don't you think?",975 RP,True,2011-12-14
103002,Midnight Ahri,Ahri,7,"Deep in the snowy forests bordering the kingdom, villagers tell tales of a mysterious icefox who, under the light of the midnight moon, becomes human. What they don't know is that this fox, Ahri, was once a princess. Cursed to live a life as wild as her heart, she runs through the forests during the day, hoping to find someone to break her eternal curse.",750 RP,True,2011-12-14
103003,Foxfire Ahri,Ahri,7,"A young, talented pyromancer from the Shadowfire Temple, Ahri gave up her quiet life when a faction of extremists unleashed the burning horrors of the Ashen Lord. Now she uses her fire magic to fight against them, even though all hope seems lost.",975 RP,True,2012-07-11
103004,Popstar Ahri,Ahri,7,"Discovered by her record label when she was still a teen, Ahri took the music world by storm when her first five singles hit the Top 100, winning Most Talented New K-pop Artist at the 2013 Pop Shine Awards. She's been stealing hearts and sweeping awards ever since. However, underneath that perfect exterior, Ahri is feeling trapped by increasing demands...",975 RP,True,2013-11-25
103005,Challenger Ahri,Ahri,7,No lore,975 RP,True,2015-01-15
103006,Academy Ahri,Ahri,7,"NOTICE FROM THE DEAN: Ahri is henceforth suspended from Academy grounds for behavior including (but not limited to): use of her phone during class, use of her phone during disciplinary hearings about her phone, and escaping disciplinary hearings about her phone.",750 RP,True,2015-08-26
103007,Arcade Ahri,Ahri,5,"Owner of the mysterious six-million-point high score in the infamously difficult beat-em-up Demacia Vice, Ahri is a force of nature on the retro battlefields of Arcadia. Dashing between bosses before ripping them apart with her 8-bit magic, she's already earned the nickname “Queen of the Arcade.”",1350 RP,True,2016-08-24
103014,Star Guardian Ahri,Ahri,4,"Ahri is a charismatic team captain who leads her group of Star Guardians from the outer cosmos, with the authority of a queen bee and the sly cunning of a fox. She's effortlessly popular, with an irresistible charm that disarms friends and foes alike.",1820 RP,True,2017-09-06
103015,K/DA Ahri,Ahri,5,"Setting her old bubblegum pop persona aside, Ahri was determined to shake up her image and reinvent herself as an unstoppable force within the music industry. Five years later, she has returned with a sleek new look and a killer sound—and this time she's not alone.",1350 RP,True,2018-11-03
103016,Prestige K/DA Ahri,Ahri,3,"Decked out to dazzle, K/DA Ahri charms her audience in a glittering, golden ensemble specially made for her band's 2019 Pop Shine Awards performance. Her Prestige Edition outfit celebrates the golden success of POP/STARS. Can you feel the rush now?",,False,2019-03-07
103017,Elderwood Ahri,Ahri,5,"Fables of the trickster spirit Ahri have been part of mankind's history for countless generations. Radiant and eternally youthful, she is portrayed as a curious, quizzical member of the Elderwood's feyfolk… though in recent years her heart has hardened, as she fights a growing corruption within her ancestral home.",1350 RP,True,2019-08-29
103027,Spirit Blossom Ahri,Ahri,4,"The famed Spirit of Salvation, and the fox all mortals are beckoned towards when their souls arrive to the spirit realm. A capricious, whimsical spirit who sees the fate of the living as a game of chase, she offers the chance for souls to find their final rest… but will not intervene if they stray from the path.",1820 RP,True,2020-08-06
103028,K/DA ALL OUT Ahri,Ahri,5,"When Ahri steps onto the stage to perform with K/DA, she knows she's surrounded by the best of the best—different women with different personalities, all at the top of their craft. As their leader and as their friend, Ahri is poised to guide these divas to even greater heights and leave their audiences breathless for more.",1350 RP,True,2020-10-29
103042,Coven Ahri,Ahri,5,"They came to Ahri at the first stirrings of dusk—the laughter of the Half-Light Jackal, ever stalking the world as it turned towards its own inevitable entropy. A vicious predator and powerful witch, Ahri sucks the life from all she lures close, siphoning it towards her lord within the gloom.",1350 RP,True,2021-08-12
